CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO
7272553,BASE SAMU NORTE JOVA RURAL URAM MC2024,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272561,BASE SAMU NORTE JOVA RURAL URAM MC2025,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030533,BASE SAMU NORTE PB TUCURUVI AM1078 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7271999,BASE SAMU NORTE PERUS AM 1160,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030541,BASE SAMU NORTE PERUS AM1112,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030444,BASE SAMU NORTE PERUS AM1162,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272626,BASE SAMU NORTE PERUS URAM MC2028,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272642,BASE SAMU NORTE PERUS URAM MC2029,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030606,BASE SAMU NORTE PIRITUBA PB AM1069 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7255675,BASE SAMU NORTE PS SANTANA AM1194,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5850363,BASE SAMU NORTE PS SANTANA URAM MC1092,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5850371,BASE SAMU NORTE PS SANTANA URAM MC1122,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272006,BASE SAMU NORTE SUBPREF VILA MARIA AM 1164,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030614,BASE SAMU NORTE SUBPREF VILA MARIA AM1083,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7001363,BASE SAMU NORTE UBS AMA VILA PALMEIRAS AM1165,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7272049,BASE SAMU NORTE UBS DR WALTER ELIAS AM1110,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030495,BASE SAMU NORTE UBS ELISIO TEIXEIRA AM1070,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030509,BASE SAMU NORTE UBS ELISIO TEIXEIRA AM1195,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7029470,BASE SAMU NORTE UPA 21 DE JUNHO AM1111,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752396,BASE SAMU NORTE UPA 21 DE JUNHO URAM MC2002,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752418,BASE SAMU NORTE UPA 21 DE JUNHO URAM MC2009,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030460,BASE SAMU NORTE UPA JACANA AM1196,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030622,BASE SAMU NORTE VILA MARIA ANDARAI AM1068,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752434,BASE SAMU NORTE VILA MARIA ANDARAI URAM MC2001,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
5752450,BASE SAMU NORTE VILA MARIA ANDARAI URAM MC2008,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7030630,BASE SAMU OESTE AMA SOROCABANA AM1183 SAV,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7018150,BASE SAMU OESTE AMA SOROCABANA AM1210,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
7271913,BASE SAMU OESTE ARISTIDES VIADANA AM1186,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA
